Seniūnija,Plotas,Gyventojai (2020 m.) [3]
Antakalnio seniūnija,"77,2 km²",40637
Fabijoniškių seniūnija,"4,1 km²",38237
Grigiškių seniūnija,"7,1 km²",11466
Justiniškių seniūnija,"2,98 km²",26818
Karoliniškių seniūnija,"4,0 km²",25532
Lazdynų seniūnija,"10,3 km²",32325
Naujamiesčio seniūnija,"4,8 km²",32280
Naujininkų seniūnija,"41,1 km²",31568
Naujosios Vilnios seniūnija,"39,3 km²",38571
Panerių seniūnija,"84,94 km²",10367
Pašilaičių seniūnija,"8,2 km²",40823
Pilaitės seniūnija,"13,8 km²",27725
Rasų seniūnija,"12,7 km²",11592
Senamiesčio seniūnija,"4,5 km²",22000
Šeškinės seniūnija,"4,4 km²",29885
Šnipiškių seniūnija,"3,12 km²",15603
Verkių seniūnija,"55,65 km²",50688
Vilkpėdės seniūnija,"10,3 km²",19720
Viršuliškių seniūnija,"2,5 km²",14153
Žirmūnų seniūnija,"8,5 km²",44079
Žvėryno seniūnija,"2,7 km²",13620
Nedeklaravę gyvenamos vietos,,8936
